sitename,lon,lat,elv,year_start,year_end,koeppen_code,igbp_land_use,whc,product,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr,type
DE-Hai,10.452089,51.079407,438.7,2000,2020,Cfb,DBF,190.60711669921900,icos_warmwinter2020,2000-01-01,2020-12-23,2000,2019,20,FALSE,2010-04-01,2020-12-23,2011,2019,9,FALSE,2010-04-01,2020-12-23,2011,2019,9,FALSE,cold_delayedgpp
US-Ha1,-72.1715,42.5378,340,1991,2023,Dfb,DBF,264.8782958984380,ameriflux,1991-10-27,2020-12-31,1992,2020,29,FALSE,NA,NA,NA,NA,0,TRUE,NA,NA,NA,NA,0,TRUE,cold_delayedgpp
US-MMS,-86.4131,39.3232,275,1999,2023,Cfa,DBF,301.7260437011720,ameriflux,1999-01-01,2020-12-31,1999,2020,22,FALSE,1999-01-01,2020-12-31,1999,2020,22,FALSE,1999-01-01,2017-02-04,1999,2016,18,FALSE,cold_delayedgpp
US-PFa,-90.27230072021480,45.945899963378900,470,1995,2014,Dfb,MF,247.0664825439450,plumber,1996-07-12,2014-12-31,1997,2014,18,FALSE,1996-07-12,2014-12-31,1997,2014,18,FALSE,NA,NA,NA,NA,0,TRUE,cold_delayedgpp
BE-Vie,5.998099,50.304962,490,1996,2020,Cfb,MF,224.26194763183600,icos_warmwinter2020,1996-08-01,2020-12-31,1997,2020,24,FALSE,1996-08-01,2009-03-24,1997,2008,12,FALSE,1996-08-01,2009-03-24,1997,2008,12,FALSE,cold_nodelayedgpp
FI-Hyy,24.29477,61.847410000000000,181,1996,2020,Dfc,ENF,243.5284881591800,icos_warmwinter2020,1996-06-13,2017-12-19,1997,2016,20,FALSE,1996-04-11,2020-12-31,1997,2020,24,FALSE,2002-12-09,2019-10-26,2003,2018,16,FALSE,cold_nodelayedgpp
NL-Loo,5.74355,52.166447,33,1996,2018,Cfb,ENF,220.64414978027300,icos_drought2018,1996-07-22,2018-09-15,1997,2017,21,FALSE,1996-01-08,2018-09-15,1997,2017,21,FALSE,1996-01-08,2018-09-15,1997,2017,21,FALSE,cold_nodelayedgpp
RU-Fyo,32.922080993652300,56.46152877807620,265,1998,2020,Dfb,ENF,284.5625915527340,icos_warmwinter2020,1998-07-05,2010-11-28,1999,2009,11,FALSE,1998-06-01,2020-12-31,1999,2020,22,FALSE,1998-06-01,2020-12-31,1999,2020,22,FALSE,cold_nodelayedgpp
